"","sssdistrict","ssslong","ssslat"
"3032","Shama Ahanta East",NA,NA
"3033","Krachi East",NA,NA
"3034","Kumasi Metro",NA,NA
"3035","Atwima Mponua",NA,NA
"3036","Awutu/Efutu/ Senya",NA,NA
"3037","Accra Metro",NA,NA
"3038","Abura/Asebu/ Kwaman",NA,NA
"3039","Tamale Metro",NA,NA
"3040","Birim South",NA,NA
"3041","Assin North",NA,NA
"3042","Zabzugu Tatale",NA,NA
"3043","Atebubu",-1.0652015209198,7.67559051513672
"3044","Upper Denkyira",NA,NA
"3045","Nkoranza",NA,NA
"3046","Jasikan",NA,NA
"3047","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3048","Bolgatanga",-0.880232632160187,10.7424564361572
"3049","Ejisu Juaben",NA,NA
"3050","Dangme East",NA,NA
"3051","Ga South",NA,NA
"3052","Bawku East",NA,NA
"3053","Sekyere East",NA,NA
"3054","Dangme East",NA,NA
"3055","",NA,NA
"3056","Saboba/Chereponi (Saboba)",0.166294068098068,9.91628551483154
"3057","",NA,NA
"3058","Dangme West",NA,NA
"3059","Kwaebibirem (Kade)",-0.799037277698517,6.13331890106201
"3060","Aowin Suaman",NA,NA
"3061","Accra Metro",NA,NA
"3062","Ga East (Abokobi)",-0.241145879030228,5.72114276885986
"3063","",NA,NA
"3064","Cape Coast",NA,NA
"3065","Tema",-0.0500882156193256,5.69031476974487
"3066","Manya Krobo",NA,NA
"3067","Akwapim North",NA,NA
"3068","Kpando",NA,NA
"3069","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3070","Kwahu South",NA,NA
"3071","Tamale Metro",NA,NA
"3072","Akwapim South",NA,NA
"3073","Techiman",-1.94484198093414,7.67761468887329
"3074","Bole",NA,NA
"3075","North Tongu",NA,NA
"3076","",NA,NA
"3077","Wa Municipal",-2.28503036499023,10.0306215286255
"3078","Ketu",NA,NA
"3079","Wa Municipal",-2.28503036499023,10.0306215286255
"3080","East Akim",NA,NA
"3081","Akwapim North",NA,NA
"3082","Keta",0.853055775165558,5.90746402740479
"3083","Hohoe",NA,NA
"3084","Tamale",-0.784348249435425,9.38335132598877
"3085","Kasena-Nankani",NA,NA
"3086","Bibiani/Anhwiaso/ Bekwai",NA,NA
"3087","Juaboso",NA,NA
"3088","Accra Metro",NA,NA
"3089","Kumasi Metro",-1.59718716144562,6.68205976486206
"3090","Sekyere East",NA,NA
"3091","Upper Denkyira",NA,NA
"3092","Jirapa/ Lambussie",NA,NA
"3093","Akwapim North",NA,NA
"3094","Hohoe",NA,NA
"3095","Accra Metro",NA,NA
"3096","Kasena-Nankani",NA,NA
"3097","Bawku West",NA,NA
"3098","Accra Metro",NA,NA
"3099","Kumasi Metro",-1.59718716144562,6.68205976486206
"3100","Amansie Central",NA,NA
"3101","Offinso",-1.89086854457855,7.34876441955566
"3102","Kasena-Nankani",NA,NA
"3103","Kwabre",NA,NA
"3104","Krachi West",NA,NA
"3105","East Dagomba",NA,NA
"3106","Kumasi Metro",-1.59718716144562,6.68205976486206
"3107","South Tongu",NA,NA
"3108","Kwaebibirem",NA,NA
"3109","Tain",NA,NA
"3110","Hohoe",NA,NA
"3111","Sekyere West",NA,NA
"3112","Assin North",NA,NA
"3113","ACCRA METRO",NA,NA
"3114","Jomoro",NA,NA
"3115","Mfantsiman",NA,NA
"3116","Accra Metro",NA,NA
"3117","Ajumako/ Enyan/Esiam",NA,NA
"3118","Bongo",NA,NA
"3119","Fanteakwa",NA,NA
"3120","Kwahu North",NA,NA
"3121","Ajumako/ Enyan/Esiam",NA,NA
"3122","Gomoa",NA,NA
"3123","East Akim (Kibi)",-0.454344213008881,6.17855787277222
"3124","Dormaa",NA,NA
"3125","Kumasi Metro",-1.59718716144562,6.68205976486206
"3126","Asutifi",NA,NA
"3127","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3128","",NA,NA
"3129","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3130","Keta",NA,NA
"3131","Accra Metro",NA,NA
"3132","New Juaben",NA,NA
"3133","Asante Akim North",NA,NA
"3134","Hohoe",NA,NA
"3135","Sekyere East",NA,NA
"3136","Accra Metro",NA,NA
"3137","Awutu/Efutu/ Senya",NA,NA
"3138","Accra Metropolitan",-0.197115257382393,5.6073956489563
"3139","Mfantsiman",NA,NA
"3140","Nkoranza North",NA,NA
"3141","Cape Coast",NA,NA
"3142","Cape Coast",NA,NA
"3143","Yilo Krobo (Somanya)",-0.181593209505081,6.18635511398315
"3144","Awutu/Efutu/ Senya",NA,NA
"3145","Adansi South",NA,NA
"3146","Tema",-0.0500882156193256,5.69031476974487
"3147","Sekyere Central",NA,NA
"3148","Nadowli",NA,NA
"3149","Kwahu South",NA,NA
"3150","Kwahu South",NA,NA
"3151","Birim South (Akim Oda)",-0.969164490699768,5.86416721343994
"3152","Jasikan",NA,NA
"3153","Adaklu-Anyigbe",NA,NA
"3154","North Tongu",NA,NA
"3155","Ahafo Ano South",NA,NA
"3156","Kwahu North",NA,NA
"3157","Tamale Metro",NA,NA
"3158","Asante Akim North",NA,NA
"3159","Sunyani Municipal",NA,NA
"3160","Krachi East",NA,NA
"3161","Shama Ahanta East",NA,NA
"3162","Kpando",NA,NA
"3163","Sekyere West",NA,NA
"3164","Ejisu Juaben",NA,NA
"3165","Accra Metro",NA,NA
"3166","Biakoye",NA,NA
"3167","Dangme West",NA,NA
